customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
R_1P4URZhhvR2M604,271,29,813.46,2,4,4,10,Champions
R_1P5ErlPGjubgaax,1173,7,109.15,1,2,1,4,Lapsed
R_1P6kulS3ccGeGBa,1859,2,43.22,1,1,1,3,Lapsed
R_1PRE6htgNiTE6sa,222,31,464.26,3,4,3,10,Champions
R_1PUcgnVG2i0EBz4,123,213,2903.01,4,4,4,12,Champions
R_1PYPmKqQr85ZxYc,202,9,48.88,3,2,1,6,At Risk
R_1PYj89tLuB6NrO0,1094,13,453.98,1,2,3,6,At Risk
R_1PZ4RLWFoejyITM,412,9,294.89,1,2,2,5,At Risk
R_1PaWyy52p6QVJzy,562,5,96.95,1,1,1,3,Lapsed
R_1PcttxbjmIpzZ9t,106,19,339.18,4,3,3,10,Champions
R_1Pd540Yi7vg2fS3,576,1,10.99,1,1,1,3,Lapsed
R_1PdfnI1HKjhU1Re,250,12,269.43,3,2,2,7,Loyal
R_1PeqopBBLP0TtXA,283,6,134.14,2,2,2,6,At Risk
R_1Q0MPooXbStQQhO,232,3,85.88,3,1,1,5,At Risk
R_1Q3AyE3HMTBGZ4v,258,25,334.19,2,3,3,8,Loyal
R_1Q3YqoPwNpKkGrB,124,1,20.6,4,1,1,6,At Risk
R_1Q62CIVb2WAS8hB,199,17,950.86,3,3,4,10,Champions
R_1Q9JeeKncbbLcz0,154,135,3681.44,4,4,4,12,Champions
R_1Q9O3vi1WWPbWtk,218,7,135.6,3,2,2,7,Loyal
R_1QAdgChcm0LQ6CE,260,8,55.620000000000005,2,2,1,5,At Risk
R_1QB1ztGTGqYRyPX,455,10,381.59000000000003,1,2,3,6,At Risk
R_1QF3XP54i5CY4l4,216,17,377.28000000000003,3,3,3,9,Loyal
R_1QG7SsKpYQgSIAF,130,32,536.89,4,4,3,11,Champions
R_1QJDCnwRoXCQWZO,566,4,71.16,1,1,1,3,Lapsed
R_1QKu8qtvgo0d1uS,743,32,458.47999999999996,1,4,3,8,Loyal
R_1QLfbB3Lho273wG,124,81,2109.28,4,4,4,12,Champions
R_1QLtq9IxnM5iU7c,1882,1,9.49,1,1,1,3,Lapsed
R_1QMDaPkVnGwBGJf,274,11,261.28,2,2,2,6,At Risk
R_1Qa8m0zuQtcKx67,461,7,88.23,1,2,1,4,Lapsed
R_1QbE8mmoK6aNH9T,337,1,9.99,2,1,1,4,Lapsed
R_1QbXTBxp4gQeTaM,479,19,731.23,1,3,4,8,Loyal
R_1Qc2nux7GJ7vVuH,161,21,1658.24,4,3,4,11,Champions
R_1Qcnm6Phc1DkWqS,768,1,5.0,1,1,1,3,Lapsed
R_1Qcs0yA8Nr6teOo,375,2,34.43,2,1,1,4,Lapsed
R_1QfRrCll2CbcTFM,267,10,200.21,2,2,2,6,At Risk
R_1QgCk1rGPI0P6Ae,190,6,114.96000000000001,4,2,1,7,Loyal
R_1QgWXnlpERvWjrY,1866,2,15.73,1,1,1,3,Lapsed
R_1QgwH8nezKJlxLB,1295,2,36.91,1,1,1,3,Lapsed
R_1QhEPMXONBU12sq,165,12,225.03,4,2,2,8,Loyal
R_1QhKXo3FefH4Bab,210,69,2271.96,3,4,4,11,Champions
R_1QlNhkrA0pIwVAs,434,2,24.659999999999997,1,1,1,3,Lapsed
R_1Qlu9zbB0XgXZ3s,334,15,363.89,2,3,3,8,Loyal
R_1QnGxCVpumQBm7E,216,31,761.59,3,4,4,11,Champions
R_1QnrzFsIBd6G3N9,197,24,408.28,3,3,3,9,Loyal
R_1QoPHtffEy2UzWJ,238,26,517.13,3,3,3,9,Loyal
R_1QozBaV2v9k1qO9,230,26,465.33,3,3,3,9,Loyal
R_1QsBQXKcvaivx1j,323,16,301.7,2,3,2,7,Loyal
R_1QsZS0nI2sw5gl5,234,35,712.01,3,4,4,11,Champions
R_1QtQEfi1VAWgRM0,212,192,3148.61,3,4,4,11,Champions
R_1QtkxqZLOSdoIDI,485,13,415.98,1,2,3,6,At Risk
R_1QuSUnjdiniq8jy,243,16,275.97,3,3,2,8,Loyal
R_1QuT8Zf9NLAgbX4,316,13,536.73,2,2,3,7,Loyal
R_1QupmKjSh9fA4l4,217,37,1397.0,3,4,4,11,Champions
R_1QutEVkZz69QFR7,148,21,687.37,4,3,4,11,Champions
R_1QxWJ4eONQD2REs,213,4,85.47,3,1,1,5,At Risk
R_1QyGzHCOIStR4Ui,150,15,1091.8500000000001,4,3,4,11,Champions
R_1Qyzwfx5HrXdw4U,120,30,507.11,4,4,3,11,Champions
R_1Qz3qj05Z7L5MrZ,238,6,148.83999999999997,3,2,2,7,Loyal
R_1RFaLdtXxWmh7RT,573,6,119.11,1,2,1,4,Lapsed
R_1Ri2PvXp7pnqqyt,400,9,600.73,1,2,3,6,At Risk
R_1SvBiUOkCrlBTKV,885,3,100.46,1,1,1,3,Lapsed
R_1TvhpEMhVBwUasN,201,21,641.07,3,3,3,9,Loyal
R_1Xhiz3TBoe2gQdH,289,26,463.8,2,3,3,8,Loyal
R_1Y749UrP3H63nsR,150,59,931.68,4,4,4,12,Champions
R_1ZmrvpO6K4KDhaF,621,12,309.39,1,2,3,6,At Risk
R_1cSKDh8brnAicte,281,4,187.02,2,1,2,5,At Risk
R_1cUrY5EuyLHnEhf,251,25,2323.4700000000003,3,3,4,10,Champions
